"","orig.ident","sample_id","MajorCellTypes","case"
"BN1022_Oligodendrocytes_HC","BN1022_Oligodendrocytes_HC","BN1022","Oligodendrocytes","HC"
"BN1022_OPCs_HC","BN1022_OPCs_HC","BN1022","OPCs","HC"
"BN1022_Pericytes_HC","BN1022_Pericytes_HC","BN1022","Pericytes","HC"
"BN1022_T-Cells_HC","BN1022_T-Cells_HC","BN1022","T_Cells","HC"
"BN1076_Astrocytes_PD","BN1076_Astrocytes_PD","BN1076","Astrocytes","PD"
"BN1076_Endothelial-Cells_PD","BN1076_Endothelial-Cells_PD","BN1076","Endothelial_Cells","PD"
"BN1076_Fibroblast-Like-Cells_PD","BN1076_Fibroblast-Like-Cells_PD","BN1076","Fibroblast_Like_Cells","PD"
"BN1076_GABA-Neurons_PD","BN1076_GABA-Neurons_PD","BN1076","GABA_Neurons","PD"
"BN1076_GLU-Neurons_PD","BN1076_GLU-Neurons_PD","BN1076","GLU_Neurons","PD"
"BN1076_Microglia_PD","BN1076_Microglia_PD","BN1076","Microglia","PD"
"BN1076_Oligodendrocytes_PD","BN1076_Oligodendrocytes_PD","BN1076","Oligodendrocytes","PD"
"BN1076_OPCs_PD","BN1076_OPCs_PD","BN1076","OPCs","PD"
"BN1076_Pericytes_PD","BN1076_Pericytes_PD","BN1076","Pericytes","PD"
"BN1076_T-Cells_PD","BN1076_T-Cells_PD","BN1076","T_Cells","PD"
"BN1128_Astrocytes_ILB","BN1128_Astrocytes_ILB","BN1128","Astrocytes","ILB"
"BN1128_Endothelial-Cells_ILB","BN1128_Endothelial-Cells_ILB","BN1128","Endothelial_Cells","ILB"
"BN1128_Fibroblast-Like-Cells_ILB","BN1128_Fibroblast-Like-Cells_ILB","BN1128","Fibroblast_Like_Cells","ILB"
"BN1128_GABA-Neurons_ILB","BN1128_GABA-Neurons_ILB","BN1128","GABA_Neurons","ILB"
"BN1128_GLU-Neurons_ILB","BN1128_GLU-Neurons_ILB","BN1128","GLU_Neurons","ILB"
"BN1128_Microglia_ILB","BN1128_Microglia_ILB","BN1128","Microglia","ILB"
"BN1128_Oligodendrocytes_ILB","BN1128_Oligodendrocytes_ILB","BN1128","Oligodendrocytes","ILB"
"BN1128_OPCs_ILB","BN1128_OPCs_ILB","BN1128","OPCs","ILB"
"BN1128_Pericytes_ILB","BN1128_Pericytes_ILB","BN1128","Pericytes","ILB"
"BN1128_T-Cells_ILB","BN1128_T-Cells_ILB","BN1128","T_Cells","ILB"
"BN1144_Astrocytes_HC","BN1144_Astrocytes_HC","BN1144","Astrocytes","HC"
"BN1144_Endothelial-Cells_HC","BN1144_Endothelial-Cells_HC","BN1144","Endothelial_Cells","HC"
"BN1144_Fibroblast-Like-Cells_HC","BN1144_Fibroblast-Like-Cells_HC","BN1144","Fibroblast_Like_Cells","HC"
"BN1144_GABA-Neurons_HC","BN1144_GABA-Neurons_HC","BN1144","GABA_Neurons","HC"
"BN1144_GLU-Neurons_HC","BN1144_GLU-Neurons_HC","BN1144","GLU_Neurons","HC"
"BN1144_Microglia_HC","BN1144_Microglia_HC","BN1144","Microglia","HC"
"BN1144_Oligodendrocytes_HC","BN1144_Oligodendrocytes_HC","BN1144","Oligodendrocytes","HC"
"BN1144_OPCs_HC","BN1144_OPCs_HC","BN1144","OPCs","HC"
"BN1144_Pericytes_HC","BN1144_Pericytes_HC","BN1144","Pericytes","HC"
"BN1144_T-Cells_HC","BN1144_T-Cells_HC","BN1144","T_Cells","HC"
"BN1160_Astrocytes_ILB","BN1160_Astrocytes_ILB","BN1160","Astrocytes","ILB"
"BN1160_Endothelial-Cells_ILB","BN1160_Endothelial-Cells_ILB","BN1160","Endothelial_Cells","ILB"
"BN1160_Fibroblast-Like-Cells_ILB","BN1160_Fibroblast-Like-Cells_ILB","BN1160","Fibroblast_Like_Cells","ILB"
"BN1160_GABA-Neurons_ILB","BN1160_GABA-Neurons_ILB","BN1160","GABA_Neurons","ILB"
"BN1160_GLU-Neurons_ILB","BN1160_GLU-Neurons_ILB","BN1160","GLU_Neurons","ILB"
"BN1160_Microglia_ILB","BN1160_Microglia_ILB","BN1160","Microglia","ILB"
"BN1160_Oligodendrocytes_ILB","BN1160_Oligodendrocytes_ILB","BN1160","Oligodendrocytes","ILB"
"BN1160_OPCs_ILB","BN1160_OPCs_ILB","BN1160","OPCs","ILB"
"BN1160_Pericytes_ILB","BN1160_Pericytes_ILB","BN1160","Pericytes","ILB"
"BN1160_T-Cells_ILB","BN1160_T-Cells_ILB","BN1160","T_Cells","ILB"
"BN1204_Astrocytes_PD","BN1204_Astrocytes_PD","BN1204","Astrocytes","PD"
"BN1204_Endothelial-Cells_PD","BN1204_Endothelial-Cells_PD","BN1204","Endothelial_Cells","PD"
"BN1204_Fibroblast-Like-Cells_PD","BN1204_Fibroblast-Like-Cells_PD","BN1204","Fibroblast_Like_Cells","PD"
"BN1204_GABA-Neurons_PD","BN1204_GABA-Neurons_PD","BN1204","GABA_Neurons","PD"
"BN1204_GLU-Neurons_PD","BN1204_GLU-Neurons_PD","BN1204","GLU_Neurons","PD"
"BN1204_Microglia_PD","BN1204_Microglia_PD","BN1204","Microglia","PD"
"BN1204_Oligodendrocytes_PD","BN1204_Oligodendrocytes_PD","BN1204","Oligodendrocytes","PD"
"BN1204_OPCs_PD","BN1204_OPCs_PD","BN1204","OPCs","PD"
"BN1204_Pericytes_PD","BN1204_Pericytes_PD","BN1204","Pericytes","PD"
"BN1206_Astrocytes_HC","BN1206_Astrocytes_HC","BN1206","Astrocytes","HC"
"BN1206_Endothelial-Cells_HC","BN1206_Endothelial-Cells_HC","BN1206","Endothelial_Cells","HC"
"BN1206_Fibroblast-Like-Cells_HC","BN1206_Fibroblast-Like-Cells_HC","BN1206","Fibroblast_Like_Cells","HC"
"BN1206_GABA-Neurons_HC","BN1206_GABA-Neurons_HC","BN1206","GABA_Neurons","HC"
"BN1206_GLU-Neurons_HC","BN1206_GLU-Neurons_HC","BN1206","GLU_Neurons","HC"
"BN1206_Microglia_HC","BN1206_Microglia_HC","BN1206","Microglia","HC"
"BN1206_Oligodendrocytes_HC","BN1206_Oligodendrocytes_HC","BN1206","Oligodendrocytes","HC"
"BN1206_OPCs_HC","BN1206_OPCs_HC","BN1206","OPCs","HC"
"BN1206_Pericytes_HC","BN1206_Pericytes_HC","BN1206","Pericytes","HC"
"BN1206_T-Cells_HC","BN1206_T-Cells_HC","BN1206","T_Cells","HC"
"BN1221_Astrocytes_HC","BN1221_Astrocytes_HC","BN1221","Astrocytes","HC"
"BN1221_Endothelial-Cells_HC","BN1221_Endothelial-Cells_HC","BN1221","Endothelial_Cells","HC"
"BN1221_Fibroblast-Like-Cells_HC","BN1221_Fibroblast-Like-Cells_HC","BN1221","Fibroblast_Like_Cells","HC"
"BN1221_GABA-Neurons_HC","BN1221_GABA-Neurons_HC","BN1221","GABA_Neurons","HC"
"BN1221_GLU-Neurons_HC","BN1221_GLU-Neurons_HC","BN1221","GLU_Neurons","HC"
"BN1221_Microglia_HC","BN1221_Microglia_HC","BN1221","Microglia","HC"
"BN1221_Oligodendrocytes_HC","BN1221_Oligodendrocytes_HC","BN1221","Oligodendrocytes","HC"
"BN1221_OPCs_HC","BN1221_OPCs_HC","BN1221","OPCs","HC"
"BN1221_Pericytes_HC","BN1221_Pericytes_HC","BN1221","Pericytes","HC"
"BN1221_T-Cells_HC","BN1221_T-Cells_HC","BN1221","T_Cells","HC"
"BN1266_Astrocytes_PD","BN1266_Astrocytes_PD","BN1266","Astrocytes","PD"
"BN1266_Endothelial-Cells_PD","BN1266_Endothelial-Cells_PD","BN1266","Endothelial_Cells","PD"
"BN1266_Fibroblast-Like-Cells_PD","BN1266_Fibroblast-Like-Cells_PD","BN1266","Fibroblast_Like_Cells","PD"
"BN1266_GABA-Neurons_PD","BN1266_GABA-Neurons_PD","BN1266","GABA_Neurons","PD"
"BN1266_GLU-Neurons_PD","BN1266_GLU-Neurons_PD","BN1266","GLU_Neurons","PD"
"BN1266_Microglia_PD","BN1266_Microglia_PD","BN1266","Microglia","PD"
"BN1266_Oligodendrocytes_PD","BN1266_Oligodendrocytes_PD","BN1266","Oligodendrocytes","PD"
"BN1266_OPCs_PD","BN1266_OPCs_PD","BN1266","OPCs","PD"
"BN1266_Pericytes_PD","BN1266_Pericytes_PD","BN1266","Pericytes","PD"
"BN1266_T-Cells_PD","BN1266_T-Cells_PD","BN1266","T_Cells","PD"
"BN1305_Astrocytes_PD","BN1305_Astrocytes_PD","BN1305","Astrocytes","PD"
"BN1305_Endothelial-Cells_PD","BN1305_Endothelial-Cells_PD","BN1305","Endothelial_Cells","PD"
"BN1305_Fibroblast-Like-Cells_PD","BN1305_Fibroblast-Like-Cells_PD","BN1305","Fibroblast_Like_Cells","PD"
"BN1305_GABA-Neurons_PD","BN1305_GABA-Neurons_PD","BN1305","GABA_Neurons","PD"
"BN1305_GLU-Neurons_PD","BN1305_GLU-Neurons_PD","BN1305","GLU_Neurons","PD"
"BN1305_Microglia_PD","BN1305_Microglia_PD","BN1305","Microglia","PD"
"BN1305_Oligodendrocytes_PD","BN1305_Oligodendrocytes_PD","BN1305","Oligodendrocytes","PD"
"BN1305_OPCs_PD","BN1305_OPCs_PD","BN1305","OPCs","PD"
"BN1305_Pericytes_PD","BN1305_Pericytes_PD","BN1305","Pericytes","PD"
"BN1305_T-Cells_PD","BN1305_T-Cells_PD","BN1305","T_Cells","PD"
"BN1308_Astrocytes_ILB","BN1308_Astrocytes_ILB","BN1308","Astrocytes","ILB"
"BN1308_Endothelial-Cells_ILB","BN1308_Endothelial-Cells_ILB","BN1308","Endothelial_Cells","ILB"
"BN1308_Fibroblast-Like-Cells_ILB","BN1308_Fibroblast-Like-Cells_ILB","BN1308","Fibroblast_Like_Cells","ILB"
"BN1308_GABA-Neurons_ILB","BN1308_GABA-Neurons_ILB","BN1308","GABA_Neurons","ILB"
"BN1308_GLU-Neurons_ILB","BN1308_GLU-Neurons_ILB","BN1308","GLU_Neurons","ILB"
"BN1308_Microglia_ILB","BN1308_Microglia_ILB","BN1308","Microglia","ILB"
"BN1308_Oligodendrocytes_ILB","BN1308_Oligodendrocytes_ILB","BN1308","Oligodendrocytes","ILB"
"BN1308_OPCs_ILB","BN1308_OPCs_ILB","BN1308","OPCs","ILB"
"BN1308_Pericytes_ILB","BN1308_Pericytes_ILB","BN1308","Pericytes","ILB"
"BN1308_T-Cells_ILB","BN1308_T-Cells_ILB","BN1308","T_Cells","ILB"
"BN1317_Astrocytes_PD","BN1317_Astrocytes_PD","BN1317","Astrocytes","PD"
"BN1317_Endothelial-Cells_PD","BN1317_Endothelial-Cells_PD","BN1317","Endothelial_Cells","PD"
"BN1317_Fibroblast-Like-Cells_PD","BN1317_Fibroblast-Like-Cells_PD","BN1317","Fibroblast_Like_Cells","PD"
"BN1317_GABA-Neurons_PD","BN1317_GABA-Neurons_PD","BN1317","GABA_Neurons","PD"
"BN1317_GLU-Neurons_PD","BN1317_GLU-Neurons_PD","BN1317","GLU_Neurons","PD"
"BN1317_Microglia_PD","BN1317_Microglia_PD","BN1317","Microglia","PD"
"BN1317_Oligodendrocytes_PD","BN1317_Oligodendrocytes_PD","BN1317","Oligodendrocytes","PD"
"BN1317_OPCs_PD","BN1317_OPCs_PD","BN1317","OPCs","PD"
"BN1317_Pericytes_PD","BN1317_Pericytes_PD","BN1317","Pericytes","PD"
"BN1317_T-Cells_PD","BN1317_T-Cells_PD","BN1317","T_Cells","PD"
"BN1339_Astrocytes_ILB","BN1339_Astrocytes_ILB","BN1339","Astrocytes","ILB"
"BN1339_Endothelial-Cells_ILB","BN1339_Endothelial-Cells_ILB","BN1339","Endothelial_Cells","ILB"
"BN1339_Fibroblast-Like-Cells_ILB","BN1339_Fibroblast-Like-Cells_ILB","BN1339","Fibroblast_Like_Cells","ILB"
"BN1339_GABA-Neurons_ILB","BN1339_GABA-Neurons_ILB","BN1339","GABA_Neurons","ILB"
"BN1339_GLU-Neurons_ILB","BN1339_GLU-Neurons_ILB","BN1339","GLU_Neurons","ILB"
"BN1339_Microglia_ILB","BN1339_Microglia_ILB","BN1339","Microglia","ILB"
"BN1339_Oligodendrocytes_ILB","BN1339_Oligodendrocytes_ILB","BN1339","Oligodendrocytes","ILB"
"BN1339_OPCs_ILB","BN1339_OPCs_ILB","BN1339","OPCs","ILB"
"BN1339_Pericytes_ILB","BN1339_Pericytes_ILB","BN1339","Pericytes","ILB"
"BN1339_T-Cells_ILB","BN1339_T-Cells_ILB","BN1339","T_Cells","ILB"
"BN1340_Astrocytes_HC","BN1340_Astrocytes_HC","BN1340","Astrocytes","HC"
"BN1340_Endothelial-Cells_HC","BN1340_Endothelial-Cells_HC","BN1340","Endothelial_Cells","HC"
"BN1340_Fibroblast-Like-Cells_HC","BN1340_Fibroblast-Like-Cells_HC","BN1340","Fibroblast_Like_Cells","HC"
"BN1340_GABA-Neurons_HC","BN1340_GABA-Neurons_HC","BN1340","GABA_Neurons","HC"
"BN1340_GLU-Neurons_HC","BN1340_GLU-Neurons_HC","BN1340","GLU_Neurons","HC"
"BN1340_Microglia_HC","BN1340_Microglia_HC","BN1340","Microglia","HC"
"BN1340_Oligodendrocytes_HC","BN1340_Oligodendrocytes_HC","BN1340","Oligodendrocytes","HC"
"BN1340_OPCs_HC","BN1340_OPCs_HC","BN1340","OPCs","HC"
"BN1340_Pericytes_HC","BN1340_Pericytes_HC","BN1340","Pericytes","HC"
"BN1340_T-Cells_HC","BN1340_T-Cells_HC","BN1340","T_Cells","HC"
"BN1351_Astrocytes_ILB","BN1351_Astrocytes_ILB","BN1351","Astrocytes","ILB"
"BN1351_Endothelial-Cells_ILB","BN1351_Endothelial-Cells_ILB","BN1351","Endothelial_Cells","ILB"
"BN1351_Fibroblast-Like-Cells_ILB","BN1351_Fibroblast-Like-Cells_ILB","BN1351","Fibroblast_Like_Cells","ILB"
"BN1351_GABA-Neurons_ILB","BN1351_GABA-Neurons_ILB","BN1351","GABA_Neurons","ILB"
"BN1351_GLU-Neurons_ILB","BN1351_GLU-Neurons_ILB","BN1351","GLU_Neurons","ILB"
"BN1351_Microglia_ILB","BN1351_Microglia_ILB","BN1351","Microglia","ILB"
"BN1351_Oligodendrocytes_ILB","BN1351_Oligodendrocytes_ILB","BN1351","Oligodendrocytes","ILB"
"BN1351_OPCs_ILB","BN1351_OPCs_ILB","BN1351","OPCs","ILB"
"BN1351_Pericytes_ILB","BN1351_Pericytes_ILB","BN1351","Pericytes","ILB"
"BN1351_T-Cells_ILB","BN1351_T-Cells_ILB","BN1351","T_Cells","ILB"
"BN1361_Astrocytes_ILB","BN1361_Astrocytes_ILB","BN1361","Astrocytes","ILB"
"BN1361_Endothelial-Cells_ILB","BN1361_Endothelial-Cells_ILB","BN1361","Endothelial_Cells","ILB"
"BN1361_Fibroblast-Like-Cells_ILB","BN1361_Fibroblast-Like-Cells_ILB","BN1361","Fibroblast_Like_Cells","ILB"
"BN1361_GABA-Neurons_ILB","BN1361_GABA-Neurons_ILB","BN1361","GABA_Neurons","ILB"
"BN1361_GLU-Neurons_ILB","BN1361_GLU-Neurons_ILB","BN1361","GLU_Neurons","ILB"
"BN1361_Microglia_ILB","BN1361_Microglia_ILB","BN1361","Microglia","ILB"
"BN1361_Oligodendrocytes_ILB","BN1361_Oligodendrocytes_ILB","BN1361","Oligodendrocytes","ILB"
"BN1361_OPCs_ILB","BN1361_OPCs_ILB","BN1361","OPCs","ILB"
"BN1361_Pericytes_ILB","BN1361_Pericytes_ILB","BN1361","Pericytes","ILB"
"BN1361_T-Cells_ILB","BN1361_T-Cells_ILB","BN1361","T_Cells","ILB"
"BN1412_Astrocytes_PD","BN1412_Astrocytes_PD","BN1412","Astrocytes","PD"
"BN1412_Endothelial-Cells_PD","BN1412_Endothelial-Cells_PD","BN1412","Endothelial_Cells","PD"
"BN1412_Fibroblast-Like-Cells_PD","BN1412_Fibroblast-Like-Cells_PD","BN1412","Fibroblast_Like_Cells","PD"
"BN1412_GABA-Neurons_PD","BN1412_GABA-Neurons_PD","BN1412","GABA_Neurons","PD"
"BN1412_GLU-Neurons_PD","BN1412_GLU-Neurons_PD","BN1412","GLU_Neurons","PD"
"BN1412_Microglia_PD","BN1412_Microglia_PD","BN1412","Microglia","PD"
"BN1412_Oligodendrocytes_PD","BN1412_Oligodendrocytes_PD","BN1412","Oligodendrocytes","PD"
"BN1412_OPCs_PD","BN1412_OPCs_PD","BN1412","OPCs","PD"
"BN1412_Pericytes_PD","BN1412_Pericytes_PD","BN1412","Pericytes","PD"
"BN1424_Astrocytes_ILB","BN1424_Astrocytes_ILB","BN1424","Astrocytes","ILB"
"BN1424_Endothelial-Cells_ILB","BN1424_Endothelial-Cells_ILB","BN1424","Endothelial_Cells","ILB"
"BN1424_Fibroblast-Like-Cells_ILB","BN1424_Fibroblast-Like-Cells_ILB","BN1424","Fibroblast_Like_Cells","ILB"
"BN1424_GABA-Neurons_ILB","BN1424_GABA-Neurons_ILB","BN1424","GABA_Neurons","ILB"
"BN1424_GLU-Neurons_ILB","BN1424_GLU-Neurons_ILB","BN1424","GLU_Neurons","ILB"
"BN1424_Microglia_ILB","BN1424_Microglia_ILB","BN1424","Microglia","ILB"
"BN1424_Oligodendrocytes_ILB","BN1424_Oligodendrocytes_ILB","BN1424","Oligodendrocytes","ILB"
"BN1424_OPCs_ILB","BN1424_OPCs_ILB","BN1424","OPCs","ILB"
"BN1424_Pericytes_ILB","BN1424_Pericytes_ILB","BN1424","Pericytes","ILB"
"BN1424_T-Cells_ILB","BN1424_T-Cells_ILB","BN1424","T_Cells","ILB"
"BN1430_Astrocytes_HC","BN1430_Astrocytes_HC","BN1430","Astrocytes","HC"
"BN1430_Endothelial-Cells_HC","BN1430_Endothelial-Cells_HC","BN1430","Endothelial_Cells","HC"
"BN1430_Fibroblast-Like-Cells_HC","BN1430_Fibroblast-Like-Cells_HC","BN1430","Fibroblast_Like_Cells","HC"
"BN1430_GABA-Neurons_HC","BN1430_GABA-Neurons_HC","BN1430","GABA_Neurons","HC"
"BN1430_GLU-Neurons_HC","BN1430_GLU-Neurons_HC","BN1430","GLU_Neurons","HC"
"BN1430_Microglia_HC","BN1430_Microglia_HC","BN1430","Microglia","HC"
"BN1430_Oligodendrocytes_HC","BN1430_Oligodendrocytes_HC","BN1430","Oligodendrocytes","HC"
"BN1430_OPCs_HC","BN1430_OPCs_HC","BN1430","OPCs","HC"
"BN1430_Pericytes_HC","BN1430_Pericytes_HC","BN1430","Pericytes","HC"
"BN1430_T-Cells_HC","BN1430_T-Cells_HC","BN1430","T_Cells","HC"
"BN1504_Astrocytes_PD","BN1504_Astrocytes_PD","BN1504","Astrocytes","PD"
"BN1504_Endothelial-Cells_PD","BN1504_Endothelial-Cells_PD","BN1504","Endothelial_Cells","PD"
"BN1504_Fibroblast-Like-Cells_PD","BN1504_Fibroblast-Like-Cells_PD","BN1504","Fibroblast_Like_Cells","PD"
"BN1504_GABA-Neurons_PD","BN1504_GABA-Neurons_PD","BN1504","GABA_Neurons","PD"
"BN1504_GLU-Neurons_PD","BN1504_GLU-Neurons_PD","BN1504","GLU_Neurons","PD"
"BN1504_Microglia_PD","BN1504_Microglia_PD","BN1504","Microglia","PD"
"BN1504_Oligodendrocytes_PD","BN1504_Oligodendrocytes_PD","BN1504","Oligodendrocytes","PD"
"BN1504_OPCs_PD","BN1504_OPCs_PD","BN1504","OPCs","PD"
"BN1504_Pericytes_PD","BN1504_Pericytes_PD","BN1504","Pericytes","PD"
"BN1504_T-Cells_PD","BN1504_T-Cells_PD","BN1504","T_Cells","PD"
"BN1506_Astrocytes_PD","BN1506_Astrocytes_PD","BN1506","Astrocytes","PD"
"BN1506_Endothelial-Cells_PD","BN1506_Endothelial-Cells_PD","BN1506","Endothelial_Cells","PD"
"BN1506_Fibroblast-Like-Cells_PD","BN1506_Fibroblast-Like-Cells_PD","BN1506","Fibroblast_Like_Cells","PD"
"BN1506_GABA-Neurons_PD","BN1506_GABA-Neurons_PD","BN1506","GABA_Neurons","PD"
"BN1506_GLU-Neurons_PD","BN1506_GLU-Neurons_PD","BN1506","GLU_Neurons","PD"
"BN1506_Microglia_PD","BN1506_Microglia_PD","BN1506","Microglia","PD"
"BN1506_Oligodendrocytes_PD","BN1506_Oligodendrocytes_PD","BN1506","Oligodendrocytes","PD"
"BN1506_OPCs_PD","BN1506_OPCs_PD","BN1506","OPCs","PD"
"BN1506_Pericytes_PD","BN1506_Pericytes_PD","BN1506","Pericytes","PD"
"BN1506_T-Cells_PD","BN1506_T-Cells_PD","BN1506","T_Cells","PD"
"BN1518_Astrocytes_ILB","BN1518_Astrocytes_ILB","BN1518","Astrocytes","ILB"
"BN1518_Endothelial-Cells_ILB","BN1518_Endothelial-Cells_ILB","BN1518","Endothelial_Cells","ILB"
"BN1518_Fibroblast-Like-Cells_ILB","BN1518_Fibroblast-Like-Cells_ILB","BN1518","Fibroblast_Like_Cells","ILB"
"BN1518_GABA-Neurons_ILB","BN1518_GABA-Neurons_ILB","BN1518","GABA_Neurons","ILB"
"BN1518_GLU-Neurons_ILB","BN1518_GLU-Neurons_ILB","BN1518","GLU_Neurons","ILB"
"BN1518_Microglia_ILB","BN1518_Microglia_ILB","BN1518","Microglia","ILB"
"BN1518_Oligodendrocytes_ILB","BN1518_Oligodendrocytes_ILB","BN1518","Oligodendrocytes","ILB"
"BN1518_OPCs_ILB","BN1518_OPCs_ILB","BN1518","OPCs","ILB"
"BN1518_Pericytes_ILB","BN1518_Pericytes_ILB","BN1518","Pericytes","ILB"
"BN1518_T-Cells_ILB","BN1518_T-Cells_ILB","BN1518","T_Cells","ILB"
"BN1535_Astrocytes_ILB","BN1535_Astrocytes_ILB","BN1535","Astrocytes","ILB"
"BN1535_Endothelial-Cells_ILB","BN1535_Endothelial-Cells_ILB","BN1535","Endothelial_Cells","ILB"
"BN1535_Fibroblast-Like-Cells_ILB","BN1535_Fibroblast-Like-Cells_ILB","BN1535","Fibroblast_Like_Cells","ILB"
"BN1535_GABA-Neurons_ILB","BN1535_GABA-Neurons_ILB","BN1535","GABA_Neurons","ILB"
"BN1535_GLU-Neurons_ILB","BN1535_GLU-Neurons_ILB","BN1535","GLU_Neurons","ILB"
"BN1535_Microglia_ILB","BN1535_Microglia_ILB","BN1535","Microglia","ILB"
"BN1535_Oligodendrocytes_ILB","BN1535_Oligodendrocytes_ILB","BN1535","Oligodendrocytes","ILB"
"BN1535_OPCs_ILB","BN1535_OPCs_ILB","BN1535","OPCs","ILB"
"BN1535_Pericytes_ILB","BN1535_Pericytes_ILB","BN1535","Pericytes","ILB"
"BN1535_T-Cells_ILB","BN1535_T-Cells_ILB","BN1535","T_Cells","ILB"
"BN1546_Astrocytes_HC","BN1546_Astrocytes_HC","BN1546","Astrocytes","HC"
"BN1546_Endothelial-Cells_HC","BN1546_Endothelial-Cells_HC","BN1546","Endothelial_Cells","HC"
"BN1546_Fibroblast-Like-Cells_HC","BN1546_Fibroblast-Like-Cells_HC","BN1546","Fibroblast_Like_Cells","HC"
"BN1546_GABA-Neurons_HC","BN1546_GABA-Neurons_HC","BN1546","GABA_Neurons","HC"
"BN1546_GLU-Neurons_HC","BN1546_GLU-Neurons_HC","BN1546","GLU_Neurons","HC"
"BN1546_Microglia_HC","BN1546_Microglia_HC","BN1546","Microglia","HC"
"BN1546_Oligodendrocytes_HC","BN1546_Oligodendrocytes_HC","BN1546","Oligodendrocytes","HC"
"BN1546_OPCs_HC","BN1546_OPCs_HC","BN1546","OPCs","HC"
"BN1546_Pericytes_HC","BN1546_Pericytes_HC","BN1546","Pericytes","HC"
"BN1546_T-Cells_HC","BN1546_T-Cells_HC","BN1546","T_Cells","HC"
"BN1554_Astrocytes_PD","BN1554_Astrocytes_PD","BN1554","Astrocytes","PD"
